"q_id","combined"
"35575c6b","<en> Which actress played Burt Lancaster's daughter in ""Sweet Smell of Success"" and graduated at the High School of Performing Arts in New York City?  <ar> من الممثلة التي لعبت دور ابنة برت لانكستر في الرائحة الحلوة للنجاح وتخرجت من المدرسة الثانوية للفنون المسرحية في نيويورك؟  <de> Welche Schauspielerin spielte Burt Lancasters Tochter in „Dein Schicksal in meiner Hand“ und absolvierte die High School of Performing Arts in New York City?  <es> ¿Qué actriz interpretó a la hija de Burt Lancaster en La mentira maldita y se graduó de la Escuela preparatoria de artes escénicas de Nueva York?  <fr> Comment s’appelle l’actrice de cinéma qui a interprété le personnage la fille de Burt Lancaster dans le film Le Grand Chantage et qui est par ailleurs diplômée de l’Académie des arts du spectacle de New York ?  <it> Quale attrice ha interpretato la figlia di Burt Lancaster in ""Piombo rovente"" e si è diplomata alla scuola superiore d'arte dello spettacolo di New York?  <ja> ""「成功の甘き香り」でバート・ランカスターの娘の役を演じた、ニューヨーク市の演劇高校出身の女優は誰ですか？"""
"ecb7180c","<en> Where was the actor who played Achilles in Troy born?  <ar> أين ولد الممثل الذي لعب دور ""آخيل"" في فيلم حرب طروادة؟  <de> Wo wurde der Schauspieler, der Achilles in „Troja” gespielt hat, geboren?  <es> ¿Dónde nació el actor que interpretó a Aquiles en Troya?  <fr> Quel est le lieu de naissance de l’acteur qui a incarné Achille dans le film Troie ?  <it> Dov'è nato l'attore che interpreta Achille in Troy?  <ja> トロイでアキレスを演じた俳優の出生地はどこですか？"
"11e50432","<en> How much was the actor who played Harry Potter paid for acting in Harry Potter and the Half Blood Prince?  <ar> ما هو المبلغ الذي دفع للممثل الذي قام بدور هاري بوتر في فيلم ""هاري بوتر والأمير الهجين""؟  <de> Wie viel wurde dem Schauspieler, der Harry Potter spielte, für seine Rolle in „Harry Potter und der Halbblutprinz“ gezahlt?  <es> ¿Cuánto se le pagó al actor que interpretó a Harry Potter en Harry Potter y el Misterio del Príncipe?  <fr> Combien l’acteur qui a joué Harry Potter dans Harry Potter et le Prince de sang-mêlé a-t-il été payé pour son rôle ?  <it> Quanto è stato pagato l'attore che ha interpretato Harry Potter per recitare in Harry Potter e il principe mezzosangue?  <ja> ハリーポッターを演じた俳優には、ハリー・ポッターと謎のプリンスの二役のギャラとしていくら支払われたのですか？"
"7f0edb54","<en> What was the first Pirates of the Caribbean movie?  <ar> ما هو أول أفلام قراصنة الكاريبي؟  <de> Wie hieß der erste „Fluch der Karibik“-Film?  <es> ¿Cuál es la primera película de Piratas del Caribe?  <fr> Quel est le premier film de la série de films Pirates des Caraïbes ?  <it> Qual è il primo film di I pirati dei Caraibi?  <ja> 「パイレーツ・オブ・カリビアン」の最初の映画はどれですか？"
"89b08063","<en> What was the last Jaws movie starring Roy Schneider?  <ar> ما هو فيلم الفك المفترس الأخير الذي أدى فيه روي شنايدر البطولة؟  <de> Welcher ist der letzte Teil von „Der weiße Hai“, in dem Roy Scheider mitspielte?  <es> ¿Cuál fue la última película de Tiburón protagonizada por Roy Schneider?  <fr> Quel est le dernier film de la série de films Les dents de la mer dans lequel Roy Schneider a un rôle principal ?  <it> Qual è stato l'ultimo Squalo con Roy Scheider come protagonista?  <ja> 何のロイ・スナイダーに主演する最後のジョーズの映画ですか"
"a8927bb4","<en> When was the last Pirate of the Caribbean movie released?  <ar> متى أُطلق آخر فيلم لقراصنة الكاريبي؟  <de> Wann erschien der letzte Teil der Filmreihe „Fluch der Karibik“?  <es> ¿Cuándo fue estrenada la última película de Piratas del Caribe?  <fr> En quelle année le dernier film Pirates des Caraïbes est-il sorti ?  <it> Quando è uscito l'ultimo Pirati dei Caraibi?  <ja> 最後のパイレーツ・オブ・カリビアンはいつ公開しましたか"
"0c5f2e78","<en> Which Godfather movie is the longest?  <ar> ما هو أطول فيلم في سلسلة أفلام العراب؟  <de> Welcher Pate Film ist der längste?  <es> ¿Qué película del Padrino es más larga?  <fr> Quel est le plus long film de la saga Le Parrain ?  <it> Qual è il film più lungo della Trilogia del padrino?  <ja> 映画ゴッドファーザーで、最も長い作品はどれ？"
"7d8a94d2","<en> Which of the Pirates of the Caribbean movies is the longest?  <ar> ما هو أطول أفلام قراصنة الكاريبي؟  <de> Welcher Fluch der Karibik Film ist der längste?  <es> ¿Cuál de las películas de Piratas del Caribe es la más larga?  <fr> Quel film de Pirates des Caraïbes est le plus long ?  <it> Quale film dei Pirati dei Caraibi dura di più?  <ja> 映画パイレーツ・オブ・カリビアンで、最も長い作品はどれ？"
"c2dd55fb","<en> Did Harry Potter and the Prisoner of Azkaban come out before Harry Potter and the Goblet of Fire?  <ar> هل تم إخراج فيلم هاري بوتر وسجين أزكابان قبل هاري بوتر وكأس النار؟  <de> Erschien „Harry Potter und der Gefangene von Askaban“ vor „Harry Potter und der Feuerkelch“?  <es> ¿Harry Potter y el prisionero de Azkabán se estrenó antes que Harry Potter y el cáliz de fuego?  <fr> Harry Potter et le Prisonnier d’Azkaban est-il sorti avant Harry Potter et la Coupe de feu ?  <it> Harry Potter e il prigioniero di Azkaban è uscito prima di Harry Potter e il calice di fuoco?  <ja> ハリー・ポッターとアズカバンの囚人は、ハリー・ポッターと炎のゴブレットより前に製作されましたか？"
"76279f72","<en> Does OldBoy have a Chinese remake?  <ar> هل صدرت نسخة صينية لفيلم الفتى العجوز؟  <de> Gibt es eine chinesische Neuverfilmung von OldBoy?  <es> ¿Tiene Old Boy un remake chino?  <fr> Y a-t-il une version chinoise de Old Boy ?  <it> È stato girato un remake cinese di Old Boy?  <ja> 映画「オールド・ボーイ」は、中国でリメイクされましたか？"
"930d8d06","<en> Are the Spider-Man movies from the Marvel universe?  <ar> هل أفلام الرجل العنكبوت من عالم مارفل؟  <de> Ist der Spiderman Film eine Marvel Universe-Produktion?  <es> ¿Las película de Spiderman pertenecen al universo de Marvel?  <fr> Les films Spiderman font-ils partie de l’univers Marvel ?  <it> I film di Spider-man fanno parte dell'universo Marvel?  <ja> 「スパイダーマン」はマーベル・シネマティック・ユニバース（MCU）の作品ですか？"
"28f1de76","<en> Did The English Patient win an Oscar for Best Picture?  <ar> هل فاز فيلم ""المريض الإنجليزي"" بجائزة أوسكار عن فئة أفضل صورة؟  <de> Gewann Der englische Patient einen Oscar für den besten Film?  <es> ¿Ganó el Paciente Inglés un Óscar por Mejor Película?  <fr> Le Patient anglais a-t-il gagné un Oscar du meilleur film ?  <it> Il paziente inglese ha vinto l'Oscar per il miglior film?  <ja> イングリッシュ・ペイシェントはオスカーのベストピクチャー賞を受賞してますか?"
"af75458f","<en> Did Tom Hanks win the Academy Award for Best Actor for the movie Cast Away?  <ar> هل حصد توم هانكس جائرة الأوسكار لأفضل ممثل عن أدائه في فيلم ""منبوذ""؟  <de> Gewann Tom Hanks den Oscar für den besten Hauptdarsteller für seine Rolle in Cast Away – Verschollen?  <es> ¿Ganó Tom Hanks el Premio de la Academia como Mejor Actor por la película Náufrago?  <fr> Tom Hanks a-t-il gagné l’Oscar du meilleur acteur pour le film Cast Away ?  <it> Tom Hanks ha vinto l'Oscar al miglior attore per il film Cast Away?  <ja> トム・ハンクスは映画キャスト・アウェイでアカデミー賞作品賞を受賞しましたか?"
"7cefb323","<en> Did Robert Pattinson appear in Harry Potter and the Chamber of Secrets?  <ar> هل لعب ""روبيرت باتينسون"" دورًا في هاري بوتر وحجرة الأسرار؟  <de> Spielte Robert Pattinson in „Harry Potter und die Kammer des Schreckens“ mit?  <es> ¿Apareció Robert Pattison en Harry Potter y la Cámara de los Secretos?  <fr> Robert Pattison apparaît-il dans Harry Potter et la Chambre des secrets ?  <it> Robert Pattinson è apparso in Harry Potter e la Camera dei segreti?  <ja> ロバート・パティンソンは「ハリー・ポッターと秘密の部屋」に出演しましたか？"
"b8c86234","<en> In How to Train Your Dragon, was toothless a black furry dragon?  <ar> في فيلم كيف تروض تنينك، هل كان توثليس تنينا أسودا غاضب؟  <de> War in „Drachenzähmen leicht gemacht“ Ohnezahn ein schwarzer Nachtschatten?  <es> En Cómo entrenar a tu Dragón, ¿era Chimuelo un dragón de furia negro?  <fr> Le personnage dragon noir farouche est-il édenté dans le film Dragons ?  <it> Nel film Dragon Trainer, Sdentato è un drago Furia Buia?  <ja> ""ヒックとドラゴンでは、トゥースレスがブラックフュリードラゴンでしたか?"""
"4d2011f2","<en> Which member of Amon Amarth was not born in Sweden?  <ar> أي عضو من فرقة Amon Amarth لم يولد في السويد؟  <de> Welches Mitglied von Amon Amarth wurde nicht in Schweden geboren?  <es> ¿Qué miembro de Amon Amarth no nació en Suecia?  <fr> Quel membre de Amon Amarth est né en Suède ?  <it> Quale membro degli Amon Amarth non è nato in Svezia?  <ja> Amon Amarthどのメンバーがスウェーデン出身ではないですか？"
"b739b77d","<en> Which of the current U2 members were born outside of Ireland?  <ar> أي من أعضاء U2 الحاليين قد ولدوا خارج أيرلندا؟  <de> Wer von den aktuellen U2-Mitgliedern ist nicht in Irland geboren?  <es> ¿Cuál de los miembros actuales de U2 nació fuera de Irlanda?  <fr> Qui des deux membres actuels de U2 n’est pas né en Irlande ?  <it> Chi degli attuali componenti degli U2 non è nato in Irlanda?  <ja> 現在のU2のメンバーのうちアイルランド以外で生まれたのは誰でしょうか？"
"61c45307","<en> Which Linda Ronstadt albums are not in English?  <ar> ما هي ألبومات ليندا رونستادت التي ليست باللغة الإنجليزية؟  <de> Welches Album von Linda Ronstadt war nicht auf Englisch?  <es> ¿Qué álbumes de Linda Rondstadt no están en inglés?  <fr> Quels albums de Linda Ronstadt n’étaient pas en anglais ?  <it> Quali album di Linda Ronstadt non sono in inglese?  <ja> リンダ・ロンシュタットのアルバムで英語でないアルバムは？"
"00abdc69","<en> Which Gibb brother was not a member of the Bee Gees?  <ar> أي من أخوة غيب لم يكن عضوًا في فرقة بي جيز الموسيقية؟  <de> Welcher der Gibb-Brüder war kein Mitglied der BeeGees?  <es> ¿Qué hermano Gibb no era miembro de los BeeGees?  <fr> Quel frère Gibb n’était pas membre de BeeGees ?  <it> Quale dei fratelli Gibb non fu un membro dei BeeGees?  <ja> ギブ兄弟の中で、ビー・ジーズのメンバーじゃなかったのは誰ですか？"
"688d1821","<en> Which singer is from Canada and had a song featured in the movie Titanic?  <ar> من هو المغني الذي من كندا ولديه أغنية ظهرت في فيلم Titanic؟  <de> Welcher Sänger stammt aus Kanada und sang einen Song in dem Film „Titanic”?  <es> ¿Qué cantante es de Canadá y cuenta con una canción en la película Titanic?  <fr> Quelle chanteuse Canadienne a une chanson dans le film Titanic ?  <it> Quale cantante canadese canta un brano della colonna sonora del film Titanic?  <ja> カナダ出身で、映画「タイタニック」の主題歌を担当した歌手と言えば誰?"
"8f516b49","<en> Which member of BTS raps and speaks English fluently?  <ar> أي عضو من فرقة (بي تي إس) يغني و يتحدث الإنكليزية بطلاقة؟  <de> Welches Mitglied von BTS rappt und spricht fließend Englisch?  <es> ¿Qué miembro de BTS rapea y habla inglés con fluidez?  <fr> Quel membre de BTS rappe et parle en un anglais fluide ?  <it> Quale membro dei BTS canta e parla correntemente in inglese?  <ja> BTSのメンバーで、ラップ担当で英語がペラペラなのは誰？"
"9342d585","<en> What is the net worth of the Canadian ""Yummy"" singer?  <ar> ما هو صافي ثورة مغني Yummy الكندي؟  <de> Wie hoch ist das Nettovermögen des Kanadiers, der „Yummy” gesungen hat?  <es> ¿Cuál es el patrimonio neto del cantante canadiense de Yummy?  <fr> Quel est l’avoir net du chanteur Canadien « Yummy » ?  <it> Qual è il patrimonio netto del cantante canadese di ""Yummy""?  <ja> カナダ人の”Yummy”歌手はどのくらい純資産を持っていますか？"
"74d115a2","<en> Which country has the most metal bands per capita?  <ar> ما الدولة التي تضم أكثر مجموعات المعادن الثقيلة للفرد في العالم؟  <de> Welches Land hat die meisten Metal-Bands pro Kopf?  <es> ¿Qué país tiene más bandas de metal per capita?  <fr> Quel pays compte plus de Metal Band par habitant ?  <it> Quale paese presenta il maggior numero di band metal per capita?  <ja> 1人あたりのメタル・バンドの数が最も多い国はどこでしょうか？"
"b89144bf","<en> What was the most expensive musical instrument sold?  <ar> بكم بيعت أغلى آلة موسيقية؟  <de> Was war das teuerste je verkaufte Musikinstrument?  <es> ¿Cuál fue el instrumento musical más caro vendido?  <fr> Quel était l’instrument de musique le plus cher vendu ?  <it> Qual è stato lo strumento musicale più costo ad essere mai stato venduto?  <ja> 最も高額で売られた楽器は何ですか？"
